steps,ES-MIR-BLEU-BPE4000-B-70,MIR-ES-BLEU-BPE4000-B-70
500,0.06323,0.12581
1000,0.3847,0.28074
1500,2.35496,0.91083
2000,3.70204,1.72512
2500,4.94779,2.60433
3000,5.35835,3.22592
3500,5.12326,3.24752
4000,5.79396,3.89283
4500,5.82551,4.63311
5000,6.02105,4.83434
5500,5.92171,5.20663
6000,6.29259,4.95112
6500,6.91925,5.81564
7000,6.73406,5.30283
7500,7.2562,5.57031
8000,7.00385,5.66761
8500,7.8968,5.9556
9000,7.55713,6.32478
9500,7.57206,6.39053
10000,7.93362,6.58329
10500,8.31658,6.70649