steps,ES-MIR-PPL-BPE4000-B-70,MIR-ES-PPL-BPE4000-B-70
500,167.46059,146.2068
1000,94.98048,95.19921
1500,64.49451,70.48508
2000,52.65708,58.3163
2500,45.84483,55.55156
3000,44.67662,54.0889
3500,44.87618,54.83289
4000,44.32241,55.67514
4500,45.13776,57.37019
5000,47.56028,60.04789
5500,49.24567,61.61491
6000,52.05283,64.8276
6500,52.12313,68.20049
7000,54.3144,72.08454
7500,54.91059,74.85706
8000,57.33455,77.79127
8500,57.6703,78.94471
9000,59.20915,80.86713
9500,61.14951,82.50544
10000,62.85033,85.83013
10500,63.02328,88.14388